DeviceName Voc(mV) Isc/(mA/cm2) FF(%) PCE(%) Annealing_T(°C) Br_Count C_Count Cl_Count Complexity Concentration(mM) H_Count Halide_fraction Heavy_Atom_Count Heteroatom_carbon_ratio Heteroatom_count Hydrogen_Bond_Acceptor_Count Hydrogen_Bond_Donor_Count I_Count Molecular_Weight(u) Rigid_Bond_Count Rotatable_Bond_Count Topological_Polar_Surface_Area
OATsO-10mM-100T 1103.52 15.01 49.37 8.72 100 0 14 0 236.8436 10 28 0.0 20 0.3333 5 3 1 0 301.4432 8 6 93.22
OATsO-10mM-20T 1116.15 21.97 65.54 16.57 20 0 14 0 236.8436 10 28 0.0 20 0.3333 5 3 1 0 301.4432 8 6 93.22
OATsO-15mM-100T 1081.15 16.61 44.87 8.54 100 0 14 0 236.8436 15 28 0.0 20 0.3333 5 3 1 0 301.4432 8 6 93.22
OATsO-15mM-20T 1127.01 21.85 58.09 14.5 20 0 14 0 236.8436 15 28 0.0 20 0.3333 5 3 1 0 301.4432 8 6 93.22
OATsO-5mM-100T 1085.16 14.72 49.01 8.25 100 0 14 0 236.8436 5 28 0.0 20 0.3333 5 3 1 0 301.4432 8 6 93.22
OATsO-5mM-20T 1079.39 20.58 52.36 12.07 20 0 14 0 236.8436 5 28 0.0 20 0.3333 5 3 1 0 301.4432 8 6 93.22
MEPEACl-10mM-100T 1105.52 19.14 50.47 11.37 100 0 9 1 82.7291 10 14 0.2065 11 0.2222 2 1 1 0 171.6693 6 2 27.64
MEPEACl-10mM-20T 1131.05 21.84 66.89 16.61 20 0 9 1 82.7291 10 14 0.2065 11 0.2222 2 1 1 0 171.6693 6 2 27.64
MEPEACl-15mM-100T 1143.76 22.59 79.74 20.6 100 0 9 1 82.7291 15 14 0.2065 11 0.2222 2 1 1 0 171.6693 6 2 27.64
MEPEACl-15mM-20T 1143.41 22.96 80.89 21.23 20 0 9 1 82.7291 15 14 0.2065 11 0.2222 2 1 1 0 171.6693 6 2 27.64
MEPEACl-5mM-100T 1106.66 20.34 55.0 12.87 100 0 9 1 82.7291 5 14 0.2065 11 0.2222 2 1 1 0 171.6693 6 2 27.64
MEPEACl-5mM-20T 1126.56 21.75 64.39 16.41 20 0 9 1 82.7291 5 14 0.2065 11 0.2222 2 1 1 0 171.6693 6 2 27.64
iso-BAI-10mM-100T 1059.42 12.48 40.85 6.11 100 0 4 0 17.6096 10 12 0.6312 6 0.5 2 1 1 1 201.05 0 1 27.64
iso-BAI-10mM-20T 1090.93 12.82 41.01 6.1 20 0 4 0 17.6096 10 12 0.6312 6 0.5 2 1 1 1 201.05 0 1 27.64
iso-BAI-15mM-100T 1063.72 8.05 39.55 3.39 100 0 4 0 17.6096 15 12 0.6312 6 0.5 2 1 1 1 201.05 0 1 27.64
iso-BAI-15mM-20T 1096.16 15.48 53.16 9.63 20 0 4 0 17.6096 15 12 0.6312 6 0.5 2 1 1 1 201.05 0 1 27.64
iso-BAI-5mM-100T 1088.25 17.42 60.05 11.6 100 0 4 0 17.6096 5 12 0.6312 6 0.5 2 1 1 1 201.05 0 1 27.64
iso-BAI-5mM-20T 1085.34 18.9 56.45 11.95 20 0 4 0 17.6096 5 12 0.6312 6 0.5 2 1 1 1 201.05 0 1 27.64
n-OAI-10mM-100T 1100.65 19.54 88.76 13.82 100 0 8 0 43.8323 10 20 0.4935 10 0.25 2 1 1 1 257.1572 0 6 27.64
n-OAI-10mM-20T 1105.35 18.71 68.67 14.32 20 0 8 0 43.8323 10 20 0.4935 10 0.25 2 1 1 1 257.1572 0 6 27.64
n-OAI-15mM-100T 1102.25 21.3 67.93 15.96 100 0 8 0 43.8323 15 20 0.4935 10 0.25 2 1 1 1 257.1572 0 6 27.64
n-OAI-15mM-20T 1106.15 23.4 66.52 16.95 20 0 8 0 43.8323 15 20 0.4935 10 0.25 2 1 1 1 257.1572 0 6 27.64
n-OAI-5mM-100T 1083.97 18.98 65.3 13.4 100 0 8 0 43.8323 5 20 0.4935 10 0.25 2 1 1 1 257.1572 0 6 27.64
n-OAI-5mM-20T 1114.03 22.26 70.18 17.52 20 0 8 0 43.8323 5 20 0.4935 10 0.25 2 1 1 1 257.1572 0 6 27.64
